Keyword,Min Monthly Volume,Max Monthly Volume,Relevancy,Monthly Volume,Search Intent,Difficulty,Last Updated,search_volume_level,difficulty_level
gym workout plan,1701.0,2900.0,0.8306300222145219,1825.0,commercial,56.0,2024-08-24,ideal,medium
workout plan for women's weight loss,501.0,850.0,0.829927972144485,800.0,informational,42.0,2024-08-01,ideal,medium
weight loss workout plan for men,501.0,850.0,0.8297423872047257,660.0,informational,43.0,2024-08-23,ideal,medium
fat burning workout for men,501.0,850.0,0.829727256781275,650.0,commercial,56.0,2024-07-23,ideal,medium
weight loss workout plan for the gym,201.0,500.0,0.8291198823494464,369.0,informational,47.0,2024-08-23,backup,medium
what exercise burns the most belly fat?,851.0,1700.0,0.457301409153261,907.0,informational,56.0,2024-09-01,ideal,medium
12 week body transformation female,201.0,500.0,0.4634500601123544,420.0,informational,37.0,2023-11-16,backup,medium
gym near me,300001.0,1508000.0,0.38025634430727023,760108.0,transactional,54.0,2024-08-29,ideal,medium
workout plans,11501.0,30300.0,0.38025634430727023,13734.0,informational,52.0,2024-08-25,ideal,medium
gym workout,6501.0,9300.0,0.2678299739975786,7400.0,informational,53.0,2024-08-24,ideal,medium
abductor machine,4301.0,6500.0,0.38025634430727023,5983.0,transactional,33.0,2024-07-15,ideal,medium
the camp transformation center,4301.0,6500.0,0.38025634430727023,5310.0,transactional,49.0,2023-09-12,ideal,medium
gym workout routines,4301.0,6500.0,0.2676158468054017,5018.0,commercial,49.0,2024-09-02,ideal,medium
gym workout routine,4301.0,6500.0,0.2676158468054017,5018.0,"informational,commercial",56.0,2024-07-21,ideal,medium
workout plan for men,2901.0,4300.0,0.38025634430727023,4173.0,commercial,54.0,2024-08-25,ideal,medium
workouts for women,2901.0,4300.0,0.26749839293361666,4106.0,commercial,49.0,2024-08-25,ideal,medium
weight loss workout plan,2901.0,4300.0,0.26749839293361666,4106.0,informational,48.0,2024-08-23,ideal,medium
home workout plan,2901.0,4300.0,0.38025634430727023,4050.0,commercial,56.0,2024-09-01,ideal,medium
workout plans for women,2901.0,4300.0,0.26749016923461805,4050.0,commercial,46.0,2024-08-24,ideal,medium
workout plan for women,2901.0,4300.0,0.2673836389725511,3402.0,commercial,44.0,2024-08-24,ideal,medium
workout programs,2901.0,4300.0,0.267373288365409,3346.0,transactional,48.0,2024-09-02,ideal,medium
workout program,2901.0,4300.0,0.267373288365409,3346.0,commercial,57.0,2024-07-07,ideal,medium
free workout plans,2901.0,4300.0,0.38025634430727023,3300.0,navigational,49.0,2024-08-28,ideal,medium
workout routines for women,1701.0,2900.0,0.2672558528310817,2783.0,commercial,48.0,2024-08-16,ideal,medium
workout routine for women,1701.0,2900.0,0.2672558528310817,2783.0,commercial,46.0,2024-08-23,ideal,medium
